PB1201.3 - MANUTENÇÕES EVOLUTIVAS RELATÓRIOS FINANCEIROS GS3 |***| PB1201.1 - PROV.MANUTENÇÕES EVOLUTIVAS FINANCE |***| {,EVOLUTIVASFINANCE} |***| 2
PB1287.2 - AMS MAX ATTENTION |***| PB1287.14 - PROV. AMS MAX ATTENTION |***| {,MAXAMSATTENTION} |***| 3
PB1287.4 - SAP CREDIT MANAGEMENT / SAP TREASURY AND RISK MGMT |***| PB1287.15 - PROV. SAP CREDIT MANAGEMENT / SAP TREASU |***| {,CREDITSAPMANAGEMENT} |***| 4
PB1287.5 - AMS NWPM |***| PB1287.16 - PROV. AMS NWPM |***| {,AMSNWPM} |***| 2
PB1287.7 - AMS SONAR |***| PB1287.17 - PROV. AMS SONAR |***| {,SONARAMS} |***| 2
PB1287.4 - SAP CREDIT MANAGEMENT / SAP TREASURY AND RISK MGMT |***| PB1287.18 - PROV. SAP TEST ACCELLERATION AND OPTIMIZ |***| {,ANDSAP} |***| 2
PB1287.6 - MANUTENZIONE SAP ANNO 2017  (EX LIC COMAU) - |***| PB1287.19 - PROV. MANUTENZIONE SAP ANNO 2017  (EX LI |***| {,(EXMANUTENZIONEANNO2017SAP} |***| 6
PB1287.6 - MANUTENZIONE SAP ANNO 2017  (EX LIC COMAU) - |***| PB1287.20 - PROV. MANUTENZIONE SAP ANNO 2017  (EX LI |***| {,(EXMANUTENZIONEANNO2017SAP} |***| 6
PB1287.2 - AMS MAX ATTENTION |***| PB1287.21 - PROV. AMS MAX ATTENTION |***| {,MAXAMSATTENTION} |***| 3
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.22 - PROV. AMS SAP - FCA ITEM - CDE FINANCE |***| {,CDEFINANCEITEMFCAAMSSAP} |***| 6
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.23 - PROV. SAP LICENSE |***| {,SAP} |***| 1
PB1287.5 - AMS NWPM |***| PB1287.24 - PROV. AMS NWPM |***| {,AMSNWPM} |***| 2
PB1287.7 - AMS SONAR |***| PB1287.25 - PROV. AMS SONAR |***| {,SONARAMS} |***| 2
PB1287.6 - MANUTENZIONE SAP ANNO 2017  (EX LIC COMAU) - |***| PB1287.26 - PROV. MANUTENZIONE SAP ANNO 2017  (EX LI |***| {,(EXMANUTENZIONEANNO2017SAP} |***| 6
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.27 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCAITEM} |***| 2
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.28 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCAITEM} |***| 2
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.29 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCAITEM} |***| 2
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.30 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCAITEM} |***| 2
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.31 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCAITEM} |***| 2
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.32 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCAITEM} |***| 2
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.33 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCAITEM} |***| 2
PB1287.3 - AMS SAP - FCA ITEM - CDE FINANCE |***| PB1287.34 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCAITEM} |***| 2
NAO ENCONTROU MATCH |***| PB1287.35 - PEP PB1287 |***| [] |***| 0
PB1289.1 - MANUTENÇÕES EVOLUTIVAS (MOPAR) |***| PB1289.1 - PROV.MANUTENÇÕES EVOLUTIVAS MOPAR |***| {,EVOLUTIVAS} |***| 1
PB1289.1 - MANUTENÇÕES EVOLUTIVAS (MOPAR) |***| PB1289.2 - PROV.MANUTENÇÕES EVOLUTIVAS MOPAR |***| {,EVOLUTIVAS} |***| 1
NAO ENCONTROU MATCH |***| PB1290.1 - PROV.RENV LICENÇA SW CLICK 1/12 |***| [] |***| 0
PB1290.5 - MANUTENÇÃO LICENÇAS SIEBEL - DEALERS ARGENTINA |***| PB1290.2 - MANUTENÇÃO DE SIEBEL - BD ORACLE - 13/17 |***| {,MANUTENÇÃOSIEBEL} |***| 2
PB1290.5 - MANUTENÇÃO LICENÇAS SIEBEL - DEALERS ARGENTINA |***| PB1290.3 - MANUTENÇÃO SW WEBEX - 7/12 |***| {,MANUTENÇÃO} |***| 1
NAO ENCONTROU MATCH |***| PB1290.4 - PEP PB1290 |***| [] |***| 0
PB1291.3 - SUPORTE AMS DWH E BA DO CSPS |***| PB1291.1 - PROV. TATA CONSULTANCY - MANUTENÇÃO E SU |***| [] |***| 1
PB1291.3 - SUPORTE AMS DWH E BA DO CSPS |***| PB1291.2 - MANUTENÇÃO E SUPORTE SIEBEL - OUT À DEZ |***| {,SUPORTE} |***| 2
PB1291.3 - SUPORTE AMS DWH E BA DO CSPS |***| PB1291.3 - PROV. TATA CONSULTANCY - MANUTENÇÃO E SU |***| [] |***| 1
PB1291.3 - SUPORTE AMS DWH E BA DO CSPS |***| PB1291.4 - PROV. ACCENTURE - SUPORTE AMS AO SAPIENS |***| {,AMSSUPORTE} |***| 2
PB1291.3 - SUPORTE AMS DWH E BA DO CSPS |***| PB1291.5 - PROV. ACCENTURE - SUPORTE AMS AO SAPIENS |***| {,AMSSUPORTE} |***| 2
PB1291.3 - SUPORTE AMS DWH E BA DO CSPS |***| PB1291.6 - PROV. ACCENTURE - SUPORTE AMS DWH DO CSP |***| {,DODWHSUPORTEAMS} |***| 4
PB1291.3 - SUPORTE AMS DWH E BA DO CSPS |***| PB1291.7 - PROV. TECHEDGE - SUPORTE AMS 1 FTE PROC. |***| {,AMSSUPORTE} |***| 2
NAO ENCONTROU MATCH |***| PB1291.8 - PROV. FORCE ONE - PROFESSIONAL SERVICES |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1291.9 - PROV. STAR COMUNICAÇÃO - GESTÃO MENSAL I |***| [] |***| 0
PB1291.4 - SUPORTE AMS BPC |***| PB1291.10 - PROV. TECHEDGE - SUPORTE POST-GOLIVE BPC |***| {,BPCSUPORTE} |***| 2
NAO ENCONTROU MATCH |***| PB1291.11 - PEP PB1291 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1292.1 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1292.2 - PROV.ICT DESP FCA ITA JAN-DEZ 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1292.3 - TRANSFERENCIA CAMBIAL FGA ICT |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1292.4 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1292.5 - PROV.ICT DESP FCA ITA JAN-DEZ 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1292.6 - PROV.ICT DESP FCA ITA JAN-DEZ 2018 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1292.7 - PEP PB1292 |***| [] |***| 0
PB1293.4 - SERVIÇO DE GOVERNANÇA EUS - SCCM |***| PB1293.1 - ICTL- GERENCIA DE PROJETOS ICT - MEDIA |***| {,DE} |***| 1
NAO ENCONTROU MATCH |***| PB1293.2 - PEP PB1293 |***| [] |***| 0
PB1294.3 - ART&MIS - AR (ACCOUNT RECONCILIATION) BLACKLINE |***| PB1294.1 - PROV. ART&MIS - AR (ACCOUNT RECONCILIATI |***| {,ART&MIS(ACCOUNTAR} |***| 3
PB1294.4 - ART&MIS - MANUAL JOURNAL ENTRY |***| PB1294.2 - PROV. ART&MIS - MANUAL JOURNAL ENTRY |***| {,ENTRYJOURNALART&MISMANUAL} |***| 4
PB1294.1 - SUPORTE APLICATIVO WORKIVA |***| PB1294.3 - PROV. SUPORTE APLICATIVO WORKIVA |***| {,WORKIVAAPLICATIVOSUPORTE} |***| 3
NAO ENCONTROU MATCH |***| PB1294.4 - FIAT ITEM SPA - FAT.4006171574 - PO 6198 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1294.5 - IRRF FAT.4006171574 FIAT ITEM SPA PO. 61 |***| [] |***| 0
PB1294.3 - ART&MIS - AR (ACCOUNT RECONCILIATION) BLACKLINE |***| PB1294.6 - PROV. ART&MIS - AR (ACCOUNT RECONCILIATI |***| {,ART&MIS(ACCOUNTAR} |***| 3
PB1294.4 - ART&MIS - MANUAL JOURNAL ENTRY |***| PB1294.7 - PROV. ART&MIS - MANUAL JOURNAL ENTRY |***| {,ENTRYJOURNALART&MISMANUAL} |***| 4
PB1294.2 - HFM - NIAGARA - ADICIONAL AMS - CENTRAL BACK OFFICE E INFRAESTRUTURA |***| PB1294.8 - PROV. AMS NIAGARA |***| {,AMSNIAGARA} |***| 2
PB1294.3 - ART&MIS - AR (ACCOUNT RECONCILIATION) BLACKLINE |***| PB1294.9 - PROV. ART&MIS - AR (ACCOUNT RECONCILIATI |***| {,ART&MIS(ACCOUNTAR} |***| 3
PB1294.4 - ART&MIS - MANUAL JOURNAL ENTRY |***| PB1294.10 - PROV. ART&MIS - MANUAL JOURNAL ENTRY |***| {,ENTRYJOURNALART&MISMANUAL} |***| 4
PB1294.1 - SUPORTE APLICATIVO WORKIVA |***| PB1294.11 - PROV. SUPORTE APLICATIVO WORKIVA |***| {,WORKIVAAPLICATIVOSUPORTE} |***| 3
NAO ENCONTROU MATCH |***| PB1294.12 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1294.13 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1294.14 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1294.15 - PEP PB1294 |***| [] |***| 0
PB1296.6 - MANUTENÇÃO ANUAL SOFTWARE VDI |***| PB1296.1 - PROV. MANUTENÇÃO ANUAL SOFTWARE VDI |***| {,VDIMANUTENÇÃOANUALSOFTWARE} |***| 4
PB1296.3 - PDP - PART DEVELOPMENT PLAN |***| PB1296.2 - PROV. ICT CHRYSLER PDP |***| {,PDP} |***| 1
PB1296.5 - GCS - GLOBAL COST SYSTEM |***| PB1296.3 - PROV ICT CHRYSLER GCS |***| {,GCS} |***| 1
PB1296.7 - ISPEED |***| PB1296.4 - PROV ICT CHRYSLER ISPEED |***| {,ISPEED} |***| 1
NAO ENCONTROU MATCH |***| PB1296.5 - PROV.VEIPROD 1/12 |***| [] |***| 0
PB1296.4 - SW JACK / VEEP |***| PB1296.6 - PROV.RENV  SW VEEP / JACK 1/12 |***| {,SWVEEPJACK} |***| 4
NAO ENCONTROU MATCH |***| PB1296.7 - PROV.MBSHARCARCOHATSWHANDS 1/12 |***| [] |***| 0
PB1296.6 - MANUTENÇÃO ANUAL SOFTWARE VDI |***| PB1296.8 - PROV. MANUTENÇÃO ANUAL SOFTWARE VDI |***| {,VDIMANUTENÇÃOANUALSOFTWARE} |***| 4
PB1296.3 - PDP - PART DEVELOPMENT PLAN |***| PB1296.9 - PROV.PDP - PART DEVELOPMENT PLAN 2017 |***| {,DEVELOPMENTPARTPLAN} |***| 3
PB1296.5 - GCS - GLOBAL COST SYSTEM |***| PB1296.10 - PROV.GCS - GLOBAL COST SYSTEM 2017 |***| {,GLOBALCOSTSYSTEM} |***| 3
NAO ENCONTROU MATCH |***| PB1296.11 - PROV.ISPEED 2017 |***| [] |***| 0
PB1296.3 - PDP - PART DEVELOPMENT PLAN |***| PB1296.12 - PROV.PDP - PART DEVELOPMENT PLAN 2018 |***| {,DEVELOPMENTPARTPLAN} |***| 3
PB1296.5 - GCS - GLOBAL COST SYSTEM |***| PB1296.13 - PROV.GCS - GLOBAL COST SYSTEM 2018 |***| {,GLOBALCOSTSYSTEM} |***| 3
NAO ENCONTROU MATCH |***| PB1296.14 - PROV.ISPEED 2018 |***| [] |***| 0
PB1296.6 - MANUTENÇÃO ANUAL SOFTWARE VDI |***| PB1296.15 - PROV. MANUTENÇÃO ANUAL SOFTWARE VDI |***| {,VDIMANUTENÇÃOANUALSOFTWARE} |***| 4
NAO ENCONTROU MATCH |***| PB1296.16 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1296.17 - VARIAÇÃO CAMBIAL CHRYSLER JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1296.18 - VARIAÇÃO CAMBIAL CHRYSLER JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1296.19 - VARIAÇÃO CAMBIAL CHRYSLER JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1296.20 - PEP PB1296 |***| [] |***| 0
PB1298.5 - [SPARC] PROCESSMAP - RUNNING |***| PB1298.1 - PROV. [SPARC] PROCESSMAP - RUNNING |***| {,PROCESSMAPRUNNING[SPARC]} |***| 3
PB1298.2 - [OSS] ITO SERVERS / INFRA OSS - FCA BETIM 60% |***| PB1298.2 - PROV ICT CHRYSLER OSS ITO |***| {,ITOOSS} |***| 2
PB1298.4 - [OSS] ICT GOVERNANCE - FCA BETIM 60% |***| PB1298.3 - PROV ICT CHRYSLER GOVERNANCE OSS |***| {,GOVERNANCEICT} |***| 2
PB1298.5 - [SPARC] PROCESSMAP - RUNNING |***| PB1298.4 - PROV. [SPARC] PROCESSMAP - RUNNING |***| {,PROCESSMAPRUNNING[SPARC]} |***| 3
PB1298.2 - [OSS] ITO SERVERS / INFRA OSS - FCA BETIM 60% |***| PB1298.5 - PROV.OSS ITO SERVERS / INFRA OSS - LATAM |***| {,ITOOSSSERVERSINFRA} |***| 5
PB1298.2 - [OSS] ITO SERVERS / INFRA OSS - FCA BETIM 60% |***| PB1298.6 - PROV.ICT GOVERNANCE OSS - LATAM 2017 |***| {,OSS} |***| 1
PB1298.5 - [SPARC] PROCESSMAP - RUNNING |***| PB1298.7 - PROV. [SPARC] PROCESSMAP - RUNNING |***| {,PROCESSMAPRUNNING[SPARC]} |***| 3
PB1298.2 - [OSS] ITO SERVERS / INFRA OSS - FCA BETIM 60% |***| PB1298.8 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| {,FCA} |***| 1
NAO ENCONTROU MATCH |***| PB1298.9 - VARIAÇÃO CAMBIAL CHRYSLER JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1298.10 - VARIAÇÃO CAMBIAL CHRYSLER JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1298.11 - PEP PB1298 |***| [] |***| 0
PB1300.2 - CAPMAN |***| PB1300.1 - PROV. CAPMAN |***| {,CAPMAN} |***| 1
PB1300.2 - CAPMAN |***| PB1300.2 - PROV. CAPMAN |***| {,CAPMAN} |***| 1
PB1300.2 - CAPMAN |***| PB1300.3 - PROV. CAPMAN |***| {,CAPMAN} |***| 1
NAO ENCONTROU MATCH |***| PB1300.4 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1300.5 - PEP PB1300 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.1 - PROV. ABC TOKYO - PREPARAÇÃO DE NOVA SAL |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.2 - PROV. DATASHOW - PLENARIA ANDRÉ |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.3 - PROV. DATASHOW - MANUTENÇAO PROJETOR |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.4 - PROV. PROJECOES MULTIMIDIA - MANUTENÇÃO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.5 - PROV. DATASHOW - MANUTENÇAO AUDITORIO GP |***| [] |***| 0
PB1304.4 - SUPORTE EXECUTIVO - AUDIOVISUAL |***| PB1304.6 - PROV. STEFANINI - TÉCNICO AUDIOVISUAL PA |***| {,AUDIOVISUAL} |***| 1
NAO ENCONTROU MATCH |***| PB1304.7 - PROV. SOLUTEC - REPARO DE CELULARES |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.8 - PROV. ABC TOKYO - PREPARAÇÃO DE NOVA SAL |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.9 - PROV. DATASHOW - PLENARIA ANDRÉ |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.10 - PROV. DATASHOW - MANUTENÇAO PROJETOR |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.11 - PROV. PROJECOES MULTIMIDIA - MANUTENÇÃO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.12 - PROV. DATASHOW - MANUTENÇAO AUDITORIO GP |***| [] |***| 0
PB1304.4 - SUPORTE EXECUTIVO - AUDIOVISUAL |***| PB1304.13 - PROV. STEFANINI - TÉCNICO AUDIOVISUAL PA |***| {,AUDIOVISUAL} |***| 1
NAO ENCONTROU MATCH |***| PB1304.14 - PROV. SOLUTEC - REPARO DE CELULARES |***| [] |***| 0
PB1304.2 - SUPORTE EXECUTIVO E SUPORTE TP (BETIM) |***| PB1304.15 - PROV. STEFANINI - SUPORTE EXECUTIVO (TEL |***| {,EXECUTIVOSUPORTE} |***| 2
NAO ENCONTROU MATCH |***| PB1304.16 - PROV. STEFANINI - PROFESSIONAL SERVICES |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1304.17 - PEP PB1304 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1305.1 - PROV. ICT NFS CAMPELLO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1305.2 - PROV. ICT NFS LEXMARK |***| [] |***| 0
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.3 - PROV.IMPRESSÃO DE MAINFRAME DEZEMBRO/17 |***| {,DE} |***| 1
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.4 - PROV.CAMPELLO - IMPRESSÃO DE PRODUÇÃO DE |***| {,IMPRESSÃODE} |***| 2
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.5 -  SERVIÇO IMPRESSÃO SOB DEMANDA |***| {,IMPRESSÃO} |***| 1
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.6 - SERVIÇO IMPRESSÃO SOB DEMANDA - CAMPELLO |***| {,IMPRESSÃO} |***| 1
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.7 - SERVIÇO IMPRESSÃO SOB DEMANDA - CAMPELLO |***| {,IMPRESSÃO} |***| 1
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.8 - SERVIÇO DE IMPRESSÃO SOB DEMANDA - NFE |***| {,IMPRESSÃONFEDE} |***| 3
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.9 - SERVIÇO DE IMPRESSÃO SOB DEMANDA - NFE |***| {,IMPRESSÃONFEDE} |***| 3
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.10 - SERVIÇO DE IMPRESSÃO |***| {,IMPRESSÃODE} |***| 2
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.11 - SERVIÇO DE IMPRESSÃO |***| {,IMPRESSÃODE} |***| 2
NAO ENCONTROU MATCH |***| PB1305.12 - 0800001786-ELLO SERVICOS EM INF-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1305.13 - 0800001786-ELLO SERVICOS EM INF-EM- |***| [] |***| 0
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.14 - CÓPIA DE CONTRA-CHEQUES |***| {,DE} |***| 1
NAO ENCONTROU MATCH |***| PB1305.15 - ALOCAÇÃO IMPRESSAO |***| [] |***| 0
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.16 - PROV.IMPRESSÃO DE MAINFRAME JANEIRO/17 |***| {,DE} |***| 1
PB1305.2 - IMPRESSÃO DE NFE |***| PB1305.17 - PROV.CAMPELLO - IMPRESSÃO DE PRODUÇÃO JA |***| {,IMPRESSÃODE} |***| 2
NAO ENCONTROU MATCH |***| PB1305.18 - TRANSF. CAMPELLO IMPRESSAO FPT |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1305.19 - PEP PB1305 |***| [] |***| 0
PB1306.4 - MDM - LICENSING GROWTH AND SUPPORT |***| PB1306.1 - PROV. MDM - LICENSING AND SUPPORT (AIRWA |***| {,ANDSUPPORTLICENSINGMDM} |***| 4
PB1306.3 - MANUTENÇÃO KONTIK |***| PB1306.2 - PROV. MANUTENÇÃO SW KONTIK |***| {,MANUTENÇÃOKONTIK} |***| 2
PB1306.1 - MANUTENÇÃO MINITAB |***| PB1306.3 - PROV. MANUTENÇÃO SW MINITAB |***| {,MANUTENÇÃOMINITAB} |***| 2
PB1306.4 - MDM - LICENSING GROWTH AND SUPPORT |***| PB1306.4 - PROV. MDM - LICENSING AND SUPPORT (AIRWA |***| {,ANDSUPPORTLICENSINGMDM} |***| 4
PB1306.3 - MANUTENÇÃO KONTIK |***| PB1306.5 - PROV. MANUTENÇÃO SW KONTIK |***| {,MANUTENÇÃOKONTIK} |***| 2
PB1306.1 - MANUTENÇÃO MINITAB |***| PB1306.6 - PROV. MANUTENÇÃO SW MINITAB |***| {,MANUTENÇÃOMINITAB} |***| 2
PB1306.4 - MDM - LICENSING GROWTH AND SUPPORT |***| PB1306.7 - PROV. MDM - LICENSING AND SUPPORT (AIRWA |***| {,ANDSUPPORTLICENSINGMDM} |***| 4
PB1306.3 - MANUTENÇÃO KONTIK |***| PB1306.8 - PROV. MANUTENÇÃO SW KONTIK |***| {,MANUTENÇÃOKONTIK} |***| 2
PB1306.1 - MANUTENÇÃO MINITAB |***| PB1306.9 - PROV. MANUTENÇÃO SW MINITAB |***| {,MANUTENÇÃOMINITAB} |***| 2
NAO ENCONTROU MATCH |***| PB1306.10 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1306.11 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1306.12 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1306.13 - PEP PB1306 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1307.1 - ALOCAÇÃO CABEAMENTO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1307.2 - ALOCAÇÃO CABEAMENTO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1307.3 - PROV. CABEAMENTO - SETEMBRO A NOVEMBRO/1 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1307.4 - ALOCAÇÃO CABEAMENTO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1307.5 - TRANSF. ICT CABEAMENTO |***| [] |***| 0
PB1307.9 - N&C - SERVIÇO DE TRANSIÇÃO LAN |***| PB1307.6 - PROV. N&C - CABEAMENTO - REF. SETEMBRO A |***| {,N&C} |***| 1
PB1307.10 - N&C - GESTÃO DE REDE LAN - TRUE UP |***| PB1307.7 - PROV. N&C - GESTÃO DE REDE LAN |***| {,LANDEN&CGESTÃOREDE} |***| 5
PB1307.4 - PROXIMITY DE LAN |***| PB1307.8 - PROV. N&C - PROXIMITY LAN |***| {,PROXIMITYLAN} |***| 2
PB1307.5 - GESTÃO LAN DC HORTOLÂNDIA |***| PB1307.9 - PROV. N&C - GESTÃO DE LAN DC HORTOLÂNDIA |***| {,DCLANHORTOLÂNDIAGESTÃO} |***| 4
PB1307.9 - N&C - SERVIÇO DE TRANSIÇÃO LAN |***| PB1307.10 - PROV. N&C - SERVIÇOS DE TRANSIÇÃO LAN |***| {,LANDEN&CTRANSIÇÃO} |***| 4
PB1307.3 - SUPORTE EQUIPAMENTOS CISCO LAN - SMARTNET |***| PB1307.11 - MANUT HW LAN - SMARTNET - 5/12 |***| {,LANSMARTNET} |***| 2
NAO ENCONTROU MATCH |***| PB1307.12 - PEP PB1307 |***| [] |***| 0
PB1308.3 - GLOBAL NETWORKING PROGRAM |***| PB1308.1 - PROV. GLOBAL NETWORKING PROGRAM |***| {,GLOBALPROGRAMNETWORKING} |***| 3
PB1308.2 - GESTÃO MENSAL TELEPRESENSE - TPS E VDCS - ITÁLIA |***| PB1308.2 - PROV. GESTÃO MENSAL TELEPRESENSE - TPS E |***| {,TPSMENSALTELEPRESENSEGESTÃO} |***| 5
PB1308.1 - FCMS INTERNET DEDICATED LINK |***| PB1308.3 - PROV. FCMS INTERNET DEDICATED LINK |***| {,DEDICATEDLINKFCMSINTERNET} |***| 4
PB1308.3 - GLOBAL NETWORKING PROGRAM |***| PB1308.4 - PROV. GLOBAL NETWORKING PROGRAM |***| {,GLOBALPROGRAMNETWORKING} |***| 3
PB1308.2 - GESTÃO MENSAL TELEPRESENSE - TPS E VDCS - ITÁLIA |***| PB1308.5 - PROV. GESTÃO MENSAL TELEPRESENSE - TPS E |***| {,TPSMENSALTELEPRESENSEGESTÃO} |***| 5
PB1308.1 - FCMS INTERNET DEDICATED LINK |***| PB1308.6 - PROV. FCMS INTERNET DEDICATED LINK |***| {,DEDICATEDLINKFCMSINTERNET} |***| 4
PB1308.3 - GLOBAL NETWORKING PROGRAM |***| PB1308.7 - PROV. GLOBAL NETWORKING PROGRAM |***| {,GLOBALPROGRAMNETWORKING} |***| 3
PB1308.2 - GESTÃO MENSAL TELEPRESENSE - TPS E VDCS - ITÁLIA |***| PB1308.8 - PROV. GESTÃO MENSAL TELEPRESENSE - TPS E |***| {,TPSMENSALTELEPRESENSEGESTÃO} |***| 5
PB1308.1 - FCMS INTERNET DEDICATED LINK |***| PB1308.9 - PROV. FCMS INTERNET DEDICATED LINK |***| {,DEDICATEDLINKFCMSINTERNET} |***| 4
NAO ENCONTROU MATCH |***| PB1308.10 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1308.11 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1308.12 - VARIAÇÃO CAMBIAL FCA ITEM JANEIRO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1308.13 - PEP PB1308 |***| [] |***| 0
PB1309.2 - MANUTENÇÃO LICENÇAS BPC |***| PB1309.1 - PROV. ORACLE LICENSES - MANUTENÇÃO LICEN |***| {,MANUTENÇÃO} |***| 1
PB1309.2 - MANUTENÇÃO LICENÇAS BPC |***| PB1309.2 - PROV. MANUTENÇÃO LICENÇAS BPC |***| {,LICENÇASMANUTENÇÃOBPC} |***| 3
PB1309.3 - MANUTENÇÃO ANUAL SOFTWARE VDI |***| PB1309.3 - PROV. MANUTENÇÃO SW VDI BPC |***| {,VDIMANUTENÇÃOSW} |***| 3
PB1309.2 - MANUTENÇÃO LICENÇAS BPC |***| PB1309.4 - PROV. ORACLE LICENSES - MANUTENÇÃO LICEN |***| {,MANUTENÇÃO} |***| 1
PB1309.2 - MANUTENÇÃO LICENÇAS BPC |***| PB1309.5 - PROV. MANUTENÇÃO LICENÇAS BPC |***| {,LICENÇASMANUTENÇÃOBPC} |***| 3
PB1309.3 - MANUTENÇÃO ANUAL SOFTWARE VDI |***| PB1309.6 - PROV. MANUTENÇÃO SW VDI BPC |***| {,VDIMANUTENÇÃOSW} |***| 3
